lfq_intensity_lean_1	lfq_intensity_lean_2	lfq_intensity_lean_3	lfq_intensity_lean_4	lfq_intensity_ob_1	lfq_intensity_ob_2	lfq_intensity_ob_3	lfq_intensity_ob_4
Magohb;Magoh	28.7307808165658	27.9847973533815	28.2602336798417	28.8502226664028	28.0390602098384	28.637948547531	27.4208529954079	27.8465152196259
Ighg2b;Igh-3	29.0395220961312	29.4806136689741	29.1578506787907	26.8531583247564	27.9034424157811	28.1207397421935	29.2383601415082	29.6343576162272
Ighg1	27.7262519535143	28.1866422075106	27.9757220210143	27.6888131604984	27.2402670136968	26.8703833010143	28.191001628365	27.8977789794619
Ighg3	27.2490729720326	25.3462850423694	25.6943026886425	25.5552833237629	26.2683184487238	24.7234116552286	25.5302304823518	26.2010898669451
Ighm	29.8776582787759	28.9242287370298	28.903393856827	28.7840702303044	30.3988024665058	30.867457476076	29.4130921655132	30.0594474094181
Ighv6-3;Ighv6-6	24.8755616427192	23.9783454500449	24.5012174210306	25.3516777431274	25.014853066431	23.9680889046841	24.5838587826323	24.4364110958533
Igha	30.1690258706877	29.8168503244515	30.3126640904491	30.0898759402255	29.3897399314394	28.719842095779	29.2654886729664	28.829782949302
Tceb1	28.5182400540811	28.9900808840624	28.8897313431818	28.4769773414927	29.4222862401691	29.2371581831325	29.0303999558943	28.8800909379876
Agfg1	28.4122746433979	28.3858205804818	28.4377696022831	28.7631364470203	29.1194155057779	29.2824139349901	28.7569274436199	28.2735794083465
Trip12	27.8115692049826	27.9544928979032	27.9769549089698	28.6524407201033	28.455450422958	28.3992128763218	27.6032913917405	27.7188170390368
Fam134a	27.217793776093	27.4566566402894	27.2618368976519	27.7368957966121	27.2429713015101	27.9310193934396	27.3270661679898	27.4066492693392
Inppl1	26.2094851884969	26.4429168718855	26.117921705243	26.0971023779239	26.1343208090859	26.4407716584752	26.3098754373361	26.1866015660449
Clasp1	27.1277826251509	27.057246717067	26.9962299673002	27.5576669319717	27.1290702759296	27.2466503457928	26.8846418673119	27.027431766001
Gsta3	28.1369035188817	27.5457131148736	27.8877084070135	28.2452242502463	28.5365488939807	28.2592574483057	29.1383458984817	27.7985215933297
Xrn1	25.7905270904369	25.7261189831651	25.5044838052634	26.8216456613503	26.4721204898266	27.2456422476984	25.2786104510348	25.7794070183682
Ktn1	29.1123244632677	28.9785023072902	29.1517535526125	29.8174797864035	29.730442112258	30.4965444369082	29.4816429148055	29.4692003366168
Tns1	30.2516891055422	30.2267850262897	30.1590002631894	30.474751582555	30.4500336409439	29.8127460816588	30.0669749497886	30.2271654755509
Bzw1	30.9954125920512	31.2803596613936	30.9220675568694	30.4439788411576	30.7776043675853	30.7135206619518	30.5510139491839	30.9468344651502
BC025446	25.8942575836876	25.6877830250404	25.4693458041522	26.2952412950655	25.3616218978041	25.9468391002362	25.9266220541541	25.5722049685098
Fn1	32.9836072480694	33.1411501606184	33.184715302412	32.7463013567918	33.4112609389449	33.5002911864805	33.6886586330645	33.6803314697623
Mndal	25.8340856245121	25.7585780268335	26.2356343847141	26.4703409337122	25.6036024836486	25.6308983418046	26.0516947186455	25.6178726938494
Plekha6	28.2330454049207	28.1083348497593	28.204952722014	28.3965733436545	28.1429855320311	28.0873501999079	27.4170748068916	27.702701961509
Nudt16	27.237598122548	27.2599188249881	27.3297824314693	23.8374275217981	26.2852341518258	24.3655374365972	27.0585492995351	25.6224472132503
Adhfe1	31.3119997754791	31.4522862079131	31.2909364696508	30.9592919252239	30.8299261095245	30.6944292752566	30.7531777088548	30.576461428444
Fat1	25.6560234267588	25.9050879348259	25.8949506504151	25.8751349056699	25.9249962550453	25.6647947909275	25.7734899333467	25.6507004276135
Nucks1	29.1501512236783	28.9802964477625	28.6359133059199	29.1504706970016	29.5545735364462	29.3826831117522	28.7760361628515	28.6370502499027
2310035C23Rik;Kiaa1468	26.2630377254794	26.4699789851071	26.5973807909316	26.9324739885476	26.4186701569911	26.2408116257584	25.9622859582578	26.875851363365
Gcdh	33.3661172435333	33.4027987140345	33.230363954486	32.887321126548	32.4904257842655	32.5365460197891	33.1531065491196	33.397428785097
Prrc2c	29.0161123769777	28.9863975118547	28.8996428752846	29.8343912474726	29.4516076135904	29.8734202091727	29.1236754020781	28.858599215534
Spata5	28.6219275714476	28.6307587744506	28.5473869574729	28.9740364615212	28.6537459554594	29.2655297141189	28.6658261323187	28.3908479767503
S100a13	28.4547995321679	28.7770906129475	28.9135932136068	27.5973089011743	27.1106746696305	29.5055694921627	28.844946245256	28.4150390957355
Serpina1a;Serpina1c	32.308860153822	31.8827650032003	31.8921363006305	31.2382446911739	32.0464997829395	31.1725532991539	30.9571288719202	31.5169018381206
Tuba4a	31.8374890340289	32.1653741352045	31.9481139734234	31.1773739159292	30.3674519204391	31.3632353150837	31.2749380584346	31.7242785178849
Lsm12	27.2901134891284	27.2038749116643	27.1515893496991	26.5196271831846	27.9502910731886	25.2395570530262	27.4449673172839	27.4747843700724
Tdrd7	26.7581645076904	26.3272704822866	26.1730347182979	27.3536253014064	27.8892409968689	27.4327569935123	26.8732981553039	26.806214876418
Shank3	25.399093961594	25.2593214146363	25.362673610801	25.3011148775445	24.0848292942781	25.808116502178	25.1712643852872	25.3869548958229
Ralgapa2	26.6036614014133	26.8098496776841	27.1473178931775	26.7581103665145	26.7646646062355	27.613792560368	26.3709805897043	26.9396669155622
Gapdh	35.4300017363031	35.5913610179967	35.5854384656473	35.3529743962777	35.7781589499226	35.7177432821812	36.110477633447	36.3404093771105
Krtcap2	29.4374254277778	29.4649664843201	29.1797943076626	29.0873962615938	29.693927975517	29.7456240265697	29.5380833384852	29.8191527356806
Atg7	30.1097134664503	29.8601699688677	29.6972857963947	29.6239843030476	29.859119287902	30.1945567689952	29.5826790249148	29.7373664681478
Surf1	28.0657196770548	27.8706258103751	27.7570829372557	28.4350767574204	27.9983091236001	28.2749873984224	27.7561196838462	27.517447978027
Tmco1	29.2483743124152	29.2734109674564	29.2244785761855	28.371616414962	30.3535544387207	29.9480101875978	30.2810823786856	29.560540021744
Gm9774;Adrm1	30.5430051785493	30.4505324045165	30.3576560174323	30.87445038396	31.2707020292721	31.0298082759927	30.5381594830786	30.3575567374377
Mbnl1	29.2829097808928	29.4773017186904	29.1116865939348	29.5965870787899	29.3357992217456	29.0294885962041	29.3609217817185	29.5670251891946
Rab3gap2	27.3575201208693	27.6536144768473	27.6549329383439	27.3960657578645	27.9122144505701	28.0032956728995	27.4674687017872	27.6821238107788
Usp19	28.2155886704526	28.1814459680303	28.324660262447	28.1533387052531	27.2346733001627	27.9008677284979	27.8579756893491	28.1007082280898
Lamtor1	27.2603651995788	26.2572452650249	27.2158989411369	26.3438327804299	26.3201493661266	24.2590660886441	26.5580910467533	26.5842791504972
Atp6v1h	27.9072308579661	27.649419857677	27.712303146326	28.7598505513845	28.1048828101687	29.1961095615031	28.1375540513987	27.6784028001898
Osbpl9	27.1290958123094	27.1324687838402	27.1146185140146	27.2637982713308	27.0843302341467	27.3937948352209	27.0918812233323	27.2795987536566
Ighg2c	29.0277425840312	28.0675611426928	28.8248088144021	29.1983960096003	27.3517186692498	26.1327211398104	26.7710688676909	28.7045042921688
Pfkfb3	26.0931987667324	26.2613837360759	26.1882452970788	25.6781998399374	25.9139714688531	25.7945951587267	25.3931629452709	25.9870088114308
Cr1l	28.6933498322145	28.7171506995016	27.8318834392595	29.0711501362787	27.9121084427484	28.9727839069535	27.6056545802739	27.4728036489474
Snw1	29.2144717292142	28.965940062134	29.050927550423	29.0398461161667	28.9387886508292	29.2399724166388	28.9610884785932	28.5657160572505
Kpna4	28.0569816437098	28.0871386091305	28.0943892350395	28.5471228915323	28.2452921428374	27.4779300179961	28.2674081945549	28.3018910786379
Fcgr2b;Fcgr2	28.6756668107244	28.99241467909	28.7944992930241	29.1731382746402	28.4150433672017	29.0761380328119	28.9004815146732	28.4693107901838
N6amt2	25.3713758394114	25.5758482737647	25.5944425978648	27.1404767654318	26.4205864684798	26.1437638892179	24.6217297362045	25.3725049821865
Lphn2	25.605493434674	25.5116121290895	25.1894425603445	25.69284442171	25.2709646650452	25.9778500350427	23.7482569398165	25.2076673072601
Slc35a3	28.4092808786451	29.099960326753	29.4282698147452	25.156065760362	28.1490666354994	27.738271641284	30.0370817552819	27.5750630705608
Cdk5	26.9804491305029	27.1930071942482	27.485005783929	26.7740855940273	27.1477747966909	26.8052066297264	26.3693504128674	27.0459617621441
Hax1	28.5127097775307	28.6545850616417	28.5687406717784	28.2089072601899	28.6612568250066	27.5410828172789	28.1537563926339	28.9391812990911
Gbp6;Gbp10	28.179834203441	28.022761366787	28.6322168492777	28.6476642797315	28.5576428486875	28.5802857540808	27.8229745439227	28.4310157541389
Cnn3	29.7916703866155	29.6807382879212	29.5316087134732	30.2918590976523	29.6959521125263	30.3721031889498	30.2335734230453	30.1856926029424
Rps27	29.134035677163	29.1210765801357	28.8756978462599	28.3169992222065	29.0784213753619	28.3024798940811	28.4803178069977	28.4876139155513
Ube2d3	29.9721383645928	30.1305772019812	29.7511740160359	29.7333243023721	29.4415099745351	28.7889592030507	29.6799459654528	30.2432082954738
Rap1a	30.7639476244549	30.5944455461524	30.7314407484324	30.6277967507166	31.3455225833238	30.6405022559573	30.9284366453611	30.6312310016183
Abhd4	24.9259831900565	25.4279442141876	24.6865247810594	24.5381385833453	25.7398532349833	25.5247433556666	25.8116559262573	24.7604362557574
Lrrfip2	27.0210562402326	27.1183932621019	26.9204967178678	26.7253770477391	27.766058317437	27.3764829559263	26.8252405545663	27.0599798552686
Ints3	27.6374967924078	27.554395581054	27.8161284253543	27.4434875448312	27.6689099165436	27.0915251486046	26.0443701050187	27.4800530789901
Rufy3	28.7628739168255	28.3791577686473	28.5700787879216	28.457958885315	28.4364013910912	28.2872124504556	28.2644637717032	28.0069714631957
Fubp1	29.7511567310601	30.1231205682057	29.741844196141	30.8334465620757	30.1092172186567	30.5030937014741	29.5445445017605	29.7603813699314
Tsc22d2	26.2570860661989	26.5334872966648	26.1321745932521	26.6693571713005	26.0288654518105	25.8646818112169	25.3969415548467	26.7890974282773
Aim1	25.2400761548418	25.9546038443289	25.5296093220063	25.28926714707	26.3945591214682	27.3656238167034	27.1049809030818	26.891978452036
Nub1	28.5830398463616	28.5998213375717	28.7389604635009	28.0524127829659	28.8624795051207	29.0956166063734	27.9701430019012	28.5302377332833
Camk2d	27.2314031041816	27.383176816017	27.5673433965499	27.1322761868026	27.1871048003214	27.5832893675993	27.7103173414238	27.4006719623116
Dcun1d1	27.3064587852126	27.4221514214824	27.5426620932407	26.9341347481721	27.7301745938762	25.9451991937748	27.4015226666946	26.9026716891565
Eif4e	29.7749801136736	29.5171421867824	29.9183083674647	29.10597968974	29.294823346119	29.1749504791607	29.4900452920675	28.67436016057
Sept11	29.8080910072429	29.9068575873415	29.9437520507314	29.8097901803423	30.0292122994073	29.4655124557749	29.471649464915	29.5802171083686
Clock	25.7668459719623	25.3053544409992	25.3813068272419	24.4598393301864	25.7372081903017	24.3644608317898	25.8594709760293	25.2459843531453
